   1000       1.103      -3.820
   2000       1.074      -4.286
   3000        .980      -4.511
   4000        .989      -4.645
   5000        .971      -4.647
   6000        .969      -4.628
   7000        .915      -4.686
   8000        .992      -4.696
   9000       1.033      -4.754
  10000        .999      -4.787
