  1.976  1.976  3.952
  2.964  2.964  3.952
  1.976  2.964  4.940
  2.964  1.976  4.940
  1.976  1.976  5.928
  2.964  2.964  5.928
  1.976  2.964  6.916
  2.964  1.976  6.916
  1.976  3.952   .000
  2.964  4.940   .000
  1.976  4.940   .988
  2.964  3.952   .988
  1.976  3.952  1.976
  2.964  4.940  1.976
  1.976  4.940  2.964
  2.964  3.952  2.964
  1.976  3.952  3.952
  2.964  4.940  3.952
  1.976  4.940  4.940
  2.964  3.952  4.940
  1.976  3.952  5.928
  2.964  4.940  5.928
  1.976  4.940  6.916
  2.964  3.952  6.916
  1.976  5.928   .000
  2.964  6.916   .000
  1.976  6.916   .988
  2.964  5.928   .988
  1.976  5.928  1.976
  2.964  6.916  1.976
  1.976  6.916  2.964
  2.964  5.928  2.964
  1.976  5.928  3.952
  2.964  6.916  3.952
  1.976  6.916  4.940
  2.964  5.928  4.940
  1.976  5.928  5.928
  2.964  6.916  5.928
  1.976  6.916  6.916
  2.964  5.928  6.916
  3.952   .000   .000
  4.940   .988   .000
  3.952   .988   .988
  4.940   .000   .988
  3.952   .000  1.976
  4.940   .988  1.976
  3.952   .988  2.964
  4.940   .000  2.964
  3.952   .000  3.952
  4.940   .988  3.952
  3.952   .988  4.940
  4.940   .000  4.940
  3.952   .000  5.928
  4.940   .988  5.928
  3.952   .988  6.916
  4.940   .000  6.916
  3.952  1.976   .000
  4.940  2.964   .000
  3.952  2.964   .988
  4.940  1.976   .988
  3.952  1.976  1.976
  4.940  2.964  1.976
  3.952  2.964  2.964
  4.940  1.976  2.964
  3.952  1.976  3.952
  4.940  2.964  3.952
  3.952  2.964  4.940
  4.940  1.976  4.940
  3.952  1.976  5.928
  4.940  2.964  5.928
  3.952  2.964  6.916
  4.940  1.976  6.916
  3.952  3.952   .000
  4.940  4.940   .000
  3.952  4.940   .988
  4.940  3.952   .988
  3.952  3.952  1.976
  4.940  4.940  1.976
  3.952  4.940  2.964
  4.940  3.952  2.964
  3.952  3.952  3.952
  4.940  4.940  3.952
  3.952  4.940  4.940
  4.940  3.952  4.940
  3.952  3.952  5.928
  4.940  4.940  5.928
  3.952  4.940  6.916
  4.940  3.952  6.916
  3.952  5.928   .000
  4.940  6.916   .000
  3.952  6.916   .988
  4.940  5.928   .988
  3.952  5.928  1.976
  4.940  6.916  1.976
  3.952  6.916  2.964
  4.940  5.928  2.964
  3.952  5.928  3.952
  4.940  6.916  3.952
  3.952  6.916  4.940
  4.940  5.928  4.940
  3.952  5.928  5.928
  4.940  6.916  5.928
  3.952  6.916  6.916
  4.940  5.928  6.916
  5.928   .000   .000
  6.916   .988   .000
  5.928   .988   .988
  6.916   .000   .988
  5.928   .000  1.976
  6.916   .988  1.976
  5.928   .988  2.964
  6.916   .000  2.964
  5.928   .000  3.952
  6.916   .988  3.952
  5.928   .988  4.940
  6.916   .000  4.940
  5.928   .000  5.928
  6.916   .988  5.928
  5.928   .988  6.916
  6.916   .000  6.916
  5.928  1.976   .000
  6.916  2.964   .000
  5.928  2.964   .988
  6.916  1.976   .988
  5.928  1.976  1.976
  6.916  2.964  1.976
  5.928  2.964  2.964
  6.916  1.976  2.964
  5.928  1.976  3.952
  6.916  2.964  3.952
  5.928  2.964  4.940
  6.916  1.976  4.940
  5.928  1.976  5.928
  6.916  2.964  5.928
  5.928  2.964  6.916
  6.916  1.976  6.916
  5.928  3.952   .000
  6.916  4.940   .000
  5.928  4.940   .988
  6.916  3.952   .988
  5.928  3.952  1.976
  6.916  4.940  1.976
  5.928  4.940  2.964
  6.916  3.952  2.964
  5.928  3.952  3.952
  6.916  4.940  3.952
  5.928  4.940  4.940
  6.916  3.952  4.940
  5.928  3.952  5.928
  6.916  4.940  5.928
  5.928  4.940  6.916
  6.916  3.952  6.916
  5.928  5.928   .000
  6.916  6.916   .000
  5.928  6.916   .988
  6.916  5.928   .988
  5.928  5.928  1.976
  6.916  6.916  1.976
  5.928  6.916  2.964
  6.916  5.928  2.964
  5.928  5.928  3.952
  6.916  6.916  3.952
  5.928  6.916  4.940
  6.916  5.928  4.940
  5.928  5.928  5.928
  6.916  6.916  5.928
  5.928  6.916  6.916
  6.916  5.928  6.916
