   .000   .000   .000
   .988   .988   .000
   .000   .988   .988
   .988   .000   .988
   .000   .000  1.976
   .988   .988  1.976
   .000   .988  2.964
   .988   .000  2.964
   .000   .000  3.952
   .988   .988  3.952
   .000   .988  4.940
   .988   .000  4.940
   .000   .000  5.928
   .988   .988  5.928
   .000   .988  6.916
   .988   .000  6.916
   .000  1.976   .000
   .988  2.964   .000
   .000  2.964   .988
   .988  1.976   .988
   .000  1.976  1.976
   .988  2.964  1.976
   .000  2.964  2.964
   .988  1.976  2.964
   .000  1.976  3.952
   .988  2.964  3.952
   .000  2.964  4.940
   .988  1.976  4.940
   .000  1.976  5.928
   .988  2.964  5.928
   .000  2.964  6.916
   .988  1.976  6.916
   .000  3.952   .000
   .988  4.940   .000
   .000  4.940   .988
   .988  3.952   .988
   .000  3.952  1.976
   .988  4.940  1.976
   .000  4.940  2.964
   .988  3.952  2.964
   .000  3.952  3.952
   .988  4.940  3.952
   .000  4.940  4.940
   .988  3.952  4.940
   .000  3.952  5.928
   .988  4.940  5.928
   .000  4.940  6.916
   .988  3.952  6.916
   .000  5.928   .000
   .988  6.916   .000
   .000  6.916   .988
   .988  5.928   .988
   .000  5.928  1.976
   .988  6.916  1.976
   .000  6.916  2.964
   .988  5.928  2.964
   .000  5.928  3.952
   .988  6.916  3.952
   .000  6.916  4.940
   .988  5.928  4.940
   .000  5.928  5.928
   .988  6.916  5.928
   .000  6.916  6.916
   .988  5.928  6.916
  1.976   .000   .000
  2.964   .988   .000
  1.976   .988   .988
  2.964   .000   .988
  1.976   .000  1.976
  2.964   .988  1.976
  1.976   .988  2.964
  2.964   .000  2.964
  1.976   .000  3.952
  2.964   .988  3.952
  1.976   .988  4.940
  2.964   .000  4.940
  1.976   .000  5.928
  2.964   .988  5.928
  1.976   .988  6.916
  2.964   .000  6.916
  1.976  1.976   .000
  2.964  2.964   .000
  1.976  2.964   .988
  2.964  1.976   .988
  1.976  1.976  1.976
  2.964  2.964  1.976
  1.976  2.964  2.964
  2.964  1.976  2.964
